method,dataset,rmse,mae,mape,n_values
Forward-Backward Fill,Validation,3.7081635798703307,0.23958677084886917,4614214.894069101,44020
Forward-Backward Fill,Test,1.3506554800086807,0.19577160257793375,5561534.703110342,43669
Linear Interpolation,Validation,2.8568299677169695,0.16873040526812816,4499350.211068223,44020
Linear Interpolation,Test,1.1379134704752918,0.1500760289325906,3919944.8427336873,43669
KNN (k=5),Validation,3.7305115182528614,0.3334380510486163,36549718.687490284,44020
KNN (k=5),Test,1.0839565460931848,0.2551103856623906,39445190.922753334,43669
